row_num,index,common_name,name_pub,name_mast_key,name_simbad,designation,category,manmask,reject_reason,had_data,civ_blue,civ_ew,f2500,z_catalog,z_adopted,z_ned,dv_ned_kms,z_simbad,dv_simbad_kms,z_flag,adopted_record,sulentic,note
273,14,IR1249-13,NGC  4748,IR1249-13,NGC  4748,J125212.30-132451.7,no_sdss,1,iue_only,iue_only,,,,0.0146,,0.01463,8.9,0.01414041,-135.8,CHECK,none,,"IUE only: no HST spectrum exists for NGC  4748 (row 273, J125212.30-132451.7) under any name variant in the rebin master, so nothing could be fitted on this pass. manmask 1 by GTR's instruction, as the marker that it still needs to be dealt with in the IUE grouping; not a verdict on the object. A Seyfert 2 companion (LEDA 3797560) lies 16 arcsec away, worth remembering when the IUE aperture is considered."
27,15,Mrk 352,Z 501-58,Mrk 352,Z 501-58,J005953.30+314937.1,no_sdss,0,no_civ_data;low_snr,yes,,,,0.01486,0.01486,,,0.01463096,-67.7,ok,REJECT_ALL_iter01_baseline.json,,"Excluded. One COS spectrum ending at 1447.8 A, so the C IV window contains ZERO pixels -- the per-window residual report prints C IV as absent. The pipeline nonetheless returns blue -1255.7 km/s and EW 293.30 A, entirely extrapolated from Si IV and the far-UV continuum. This is the spurious-measurement class already recorded in the project notebook, where 27 rows of ICA_Results_Rebin_master.csv carry C IV blueshifts spanning -5165 to +5398 km/s for spectra with no C IV pixels, populating the tails of the distribution. Note that the sub-continuum veto does NOT catch this case and reports 'none': with no data in the window there is nothing for the reconstruction to sit below, so the veto is silent precisely where the measurement is emptiest. Coverage, not the veto, is what excludes this object. S/N 3.56 at Si IV, 1.61 in the blue continuum"
318,16,IC 4329A,RXC J1349.3-3018,IC 4329A,RXC J1349.3-3018,J134919.21-301833.8,no_sdss,1,iue_only,iue_only,,,,0.016,,0.016054,15.9,0.016,0.0,ok,none,,"IUE only: no HST spectrum exists for RXC J1349.3-3018 (row 318, J134919.21-301833.8) under any name variant in the rebin master, so nothing could be fitted on this pass. manmask 1 by GTR's instruction, as the marker that it still needs to be dealt with in the IUE grouping; not a verdict on the object. Catalogue z carries z_needs_check with a 147.5 km/s discrepancy; resolve that before any IUE measurement."
52,17,Mrk 1044,MCG-02-07-024,Mrk 1044,MCG-02-07-024,J023005.49-085953.1,no_sdss,3,,yes,197.48560807496355,80.01236049759146,0.7400625066768426,0.0161,0.0161,0.016451,103.6,0.01727102,345.5,CHECK,BEST_iter06_peakabs.json,,"weak absorption identified by GTR, in two places. At the C IV peak: a 0.9 A dip at 1548.4-1549.3 between shoulders of 16.31 and 16.62, now masked and marked on the figure -- it changes nothing measurable (EW 79.25 -> 79.23 alone) because it is 3 px of 280, but it was in the data unmarked. On the red side, 1551.5-1556.0: no single pixel reaches -1 sigma but 13 consecutive pixels run -0.5 to -0.9, combining to ~-2.3 sigma; masking it gives EW 80.10. Blueshift is 197.5 under every variant, same as GTR's curated STIS fit. The model still peaks 1.4 units (8%) below the data core and no masking closes that -- it is the basis limit, not absorption. The straight line across 1770-4870 A in earlier figures was matplotlib joining the two sides of a 3103 A gap in the combined spectrum, not data; plotted lines now break across gaps. Trimming the 241 optical pixels instead would have left blueshift and EW identical but moved f2500 by 3%, since they anchor the continuum fit behind the morphing, so the data is left intact"
464,18,NGC-7469,NGC 7469,NGC-7469,[DAC2007] C13,J230315.63+085225.5,no_sdss,3,,yes,266.5087642305957,175.99589836696137,1.951276248780319,0.016268,0.016268,0.016268,0.0,nan,nan,ok,BEST_iter07_peakblueabs.json,yes,"CONFIRMED by GTR against AP's prior STIS-only fit, which GTR identifies as the best previous work on this object; AP's figure is copied into the folder as prior_ap. STIS alone adopted, the three-spectrum combination abandoned. COS contributes no C IV at all -- every pixel from 1540 to 1562 A is flagged bad -- so the merge is FOS+STIS in the line, and those two epochs disagree about the line itself: normalised to each spectrum's own 1690-1720 A continuum, STIS peaks at 7.96 times continuum at 1549 A and FOS at 4.82 at 1552 A, a factor 1.65 in strength and 560 km/s in position. The continua agree to a few percent in every window, so this is the broad line varying between epochs, not a calibration mismatch. Co-adding them gives a flat-topped profile neither epoch has: the combination scores rms 3.22 / 4.79 / 2.43 / 6.17 sigma in Si IV / C IV / C III] / Mg II against STIS alone at 1.29 / 1.11 / 1.03 / 1.73, and puts the C III] peak 378 km/s off systemic against 171. FOS and COS alone both fail the sub-continuum veto (25 and 127 px), so STIS is the only usable single spectrum; it is the longest too, 1120-10060 A with all four anchor windows. Two further masks added at GTR's prompting, both blueward of the peak and both immaterial as GTR predicted: an isolated pixel at 1547.36 sitting -2.2 sigma between neighbours at +1.2 and +0.3, and the red edge of the deep 1537-1542 trough extended from 1542.0 to 1545.7, where ten consecutive pixels run about -0.9 sigma. Blueshift is 266.5 with either, both or neither; EW moves 174.89 -> 176.04, 0.7 per cent. The model still peaks 9 per cent below the data core (20.8 vs 22.9) and four rounds of the absorption search close none of it, so that is the basis limit, not missing masks. comps auto is best; high spoils Si IV (med +1.74), low spoils C IV (rms 2.56). Third object where merging was worse, after NGC 3783 and NGC 5548"
353,19,NGC 5548,NGC 5548,NGC 5548,NGC  5548,J141759.54+250812.4,no_sdss,3,,yes,-9.680667062489581,244.95947475898134,0.7556820356025702,0.0168,0.0168,0.017175,110.6,0.01668582,-33.7,CHECK,BEST_iter03_fullabs.json,yes,"CONFIRMED by GTR, who adopted iter03_fullabs and agreed FOS alone is right, matching the best previous fit. Masks are GTR's curated set with two C IV ranges grown to cover the full absorption features, at GTR's prompting -- they identified a habit of masking only part of a feature. Two absorbers sit near the peak: a broad one running 1544.06-1547.98 A to -6.0 sigma, and a narrower one at the emission peak running 1549.05-1550.12 A to -3.3 sigma. The stored masks were 1544.1-1547.9 and 1549.1-1550.3; the second began 0.05 A redward of where the absorption begins, so it covered the recovery and excluded 1549.05, the deepest pixel of that feature -- masking the red side of the line and leaving its core in the fit. Grown to 1543.9-1548.2 and 1548.85-1550.45 the fit improves in every window (C IV rms 0.89 -> 0.86, C III] 0.95 -> 0.91 with its median residual -0.25 -> -0.07, Si IV and Mg II unchanged at 0.87 and 0.89) and the Mg II anchor moves from -490 to -450 km/s. Sub-1 sigma rms in all four windows at once, the best-fitting object in the batch. Blueshift is -9.7 either way; EW 239.02 -> 244.96. The two absorbers are NOT merged into one span: the pixels at 1548.33 and 1548.69 sit at +0.72 and +0.09 sigma, real unabsorbed flux between them, and merging gains 0.2 EW while discarding it. The three-spectrum combination is worse on every count -- its baseline and GTR-mask variants fail the sub-continuum veto (24-25 px, C IV residual -8 to -9 sigma median) and the variants that pass reach only rms 1.96-2.06 in C IV on 108-158 px with Si IV surviving on 30. Second object where merging was worse"
60,20,3C 84,NGC 1275,3C 84,NGC  1275,J031948.15+413042.2,no_sdss,0,insufficient_coverage;low_snr;civ_unphysical,yes,,,,0.0175,0.0175,0.01767,50.1,0.01681333,-202.3,CHECK,REJECT_ALL_iter03_allmasks.json,yes,"Excluded. FOS alone was tested at GTR's prompting and is no better -- it cannot be, because COS covers only 1263-1406 A, entirely blueward of C IV, so FOS and the combination have identical wavelength coverage: both stop at 1577.1 A rest. That leaves 218 C IV pixels but no 1700-1705 A continuum window, no C III] and no Mg II, so nothing constrains the continuum on the red side of the line. The consequences differ between the two only in how the failure surfaces. The combination returns EW exactly 0.00 with the 9574 km/s sentinel blueshift, because the empty red continuum window leaves the continuum undefined. FOS alone instead extrapolates: its continuum fit runs NEGATIVE across 1500-1540 A and gives f2500 = -0.17, an unphysical continuum 900 A beyond the last data point, and it fails the sub-continuum veto on 179 pixels. Its apparently good window residuals (Si IV 0.50, C IV 0.61 rms) are an artefact of the errors being as large as the signal, not evidence of a good fit: median S/N is 1.50 per pixel in the C IV window and 1.05 in the blue continuum. The blueshift is meaningless under every variant -- 4038 and 4719 km/s from FOS alone, 9574 from the combination, 5737 from GTR's prior FOS fit. No configuration of this data yields a C IV measurement GTR 2026-09-21: TO REFIT on the regenerated tree -- the data behind this exclusion has changed. Verdict held open until that refit."
80,21,MKN 6,IC  450,MKN 6,IC  450,J065212.33+742535.4,no_sdss,1,iue_only,iue_only,,,,0.0188,,0.019513,209.8,0.01903787,70.0,CHECK,none,,"IUE only: no HST spectrum exists for IC  450 (row 80, J065212.33+742535.4) under any name variant in the rebin master, so nothing could be fitted on this pass. manmask 1 by GTR's instruction, as the marker that it still needs to be dealt with in the IUE grouping; not a verdict on the object."
446,22,ESO 462-9,MCG-05-48-003,ESO 462-9,MCG-05-48-003,J202151.55-311723.0,no_sdss,0,insufficient_coverage;civ_unphysical,yes,,,,0.019277,0.019277,,,0.019466098349147254,55.6,ok,REJECT_ALL_iter03_allmasks.json,,"CONFIRMED by GTR (manmask 0). Excluded. One COS spectrum, 1262-1746 A, 950 good pixels. Its 95 pixels inside the 1500-1600 A window all lie at 1565.7-1600 A -- the far red wing, redward of the 1549.48 A line centre by 16 A or more, with no core, peak or blue wing. The same pattern as MCG-04-24-017 (order 13): a blueshift is the half-flux point of the cumulative profile and cannot be formed from the red tail. Every variant fails the sub-continuum veto (37-44 px, worst 34 per cent below) and returns blue 1162-1231 with EW 436-445, both artefacts of a profile fit to nothing. S/N is respectable where there is data (5.2 in the window, 3.9 in the red continuum), so this is coverage, not noise. No C III] or Mg II"
236,23,Mrk 1310,Mrk 1310,Mrk 1310,Mrk 1310,J120114.34-034041.0,no_sdss,3,,yes,197.48560807496355,1179.334821572151,1.2853979230642452,0.01956,0.01956,0.01956,0.0,0.01946029,-29.3,ok,BEST_iter03_allmasks.json,,"CONFIRMED by GTR: BEST_iter03_allmasks, 197.5 / 1181.94. GTR asked whether the priors' higher EW (1333.8, both AP's nomask fit and GTR's own, same 197.5 km/s) could be replicated. It can, exactly, and it is the pre-fix arithmetic, not a better fit: replaying this record's reconstruction and evaluating the equivalent width with the old continuum[i] indexing gives 1333.87; with the corrected continuum[EW] it gives 1181.94. Same model -- same blueshift, no masks, and f2500 identical to GTR's 2026-08-18 measurement row at 1.2846. The bug's sign is object-dependent: it samples the continuum at grid indices 0-280, 1260-1344 A, where for this object the fitted continuum is LOWER (median 1.408) than at 1500-1600 A (1.574), so the old formula inflated the EW by 13 per cent here, whereas on the first batch it deflated it. Nothing in the priors reaches the core any better; the 38 per cent shortfall (model 102 against data 165) is common to all three. Auto component set adopted, no masks -- the proposer found no absorption and none is visible. A giant narrow line: data peak 165 on a continuum of 5, 33 times continuum, EW 1181.94 at 197.5 km/s. Anchors are as good as they come, C III] xcorr +10 and Mg II -40 km/s, and every window is under 0.7 sigma rms. The model reaches 102 at the core against 165 in the data, a 38 per cent shortfall, with a red-shoulder excess at 1555-1575 A -- the NGC 6814 situation exactly: the basis cannot make a core this sharp, and the shoulder is line beyond the basis, not absorption. Neither alternative component set helps: comps high tips the model below continuum at the blue edge (27 px, 22 per cent, 1500-1509 A) and comps low fails on 44 px, and both give a LOWER EW (721, 519) because the core is fit worse still. As with NGC 6814, an EW this large already puts the object at an extremum of C IV distance, so a better core would not move it materially. GTR's prior figure exists but no curated store entry; AP's nomask baseline is the same fit"
76,24,MCG8-11-11,Z 232-3,MCG8-11-11,Z 232-3,J055453.67+462622.4,no_sdss,1,iue_only,iue_only,,,,0.0205,,0.020457,-12.6,0.02015483,-101.4,CHECK,none,,"IUE only: no HST spectrum exists for Z 232-3 (row 76, J055453.67+462622.4) under any name variant in the rebin master, so nothing could be fitted on this pass. manmask 1 by GTR's instruction, as the marker that it still needs to be dealt with in the IUE grouping; not a verdict on the object."
207,25,Mrk 40,MCG+09-19-073,Mrk 40,MCG+09-19-073,J112536.15+542257.0,no_sdss,3,,yes,-9.680667062489581,733.3958107371818,1.3028227269156474,0.0211,0.0211,0.020601,-146.5,0.02069,-120.4,CHECK,BEST_iter01_baseline.json,,"CONFIRMED by GTR, who overruled my provisional exclusion: iter01 (auto component set = high, no masks) adopted at -9.7 / 733.40. The sub-continuum run that tripped the veto -- 31 px, 21 per cent below, at 1500.0-1510.4 A -- sits 40 A blueward of the line centre where the cumulative line flux is still essentially zero, so the clamped pixels contribute nothing to the EW and do not move the half-flux point; the EW is positive and the measurement is unaffected. GTR's words: it looks fine, no negative EW, and a more realistic EW than their own prior (728.5 under their curated masks, which differ from iter01 by 0.7 per cent in EW and not at all in blueshift or residuals -- their masks are all outside the line and change nothing measurable). Lesson recorded: the veto is about failure inside the profile, not a shallow edge dip on an otherwise excellent fit. Giant narrow line, data peak 139 on continuum ~4, anchors C III] xcorr 0 km/s and Mg II +190, all windows 0.4-0.85 sigma rms. Model peak 85 against 139, 39 per cent short at the core, the same basis limit as Mrk 1310 and NGC 6814; comps low clears the edge dip only by under-reconstructing the whole line (197.5 / 466, C IV median +0.80) and is rejected. The C III] peak sits -216 km/s from the catalogue z while NED and SIMBAD are -147 and -120: the catalogue redshift may be ~two quanta high"
252,26,Mrk 50,Mrk   50,Mrk 50,Mrk   50,J122324.14+024044.4,no_sdss,3,,yes,-147.88187004671502,168.3179590446759,1.057090897824336,0.0234,0.0234,0.023863,135.6,0.02368976,84.9,CHECK,BEST_iter04_gtr_prior.json,,"CONFIRMED by GTR: BEST_iter04_gtr_prior. GTR's curated masks adopted over my proposal: one range at 1510.4-1517.2 A covering a blue-wing absorber my pass missed, plus continuum-region pixels. Under GTR's masks the fit is better in three of four windows (Si IV 0.45 vs 0.54, C IV 0.54 vs 0.66, C III] 0.39 vs 0.43; Mg II 0.75 vs 0.68) and passes the veto. -147.9 / 168.32 against -78.8 / 164.14 from my masks -- one quantum apart, the absorber pulling the blue wing down without the mask. Anchors C III] +110, Mg II +250 km/s; the C III] peak sits +214, about three quanta, worth a glance at the redshift. Model peak 20.8 against data 22.6, an 8 per cent shortfall at the core with the wings tracked well; the red wing 1565-1600 A sits ~0.5 units above the model throughout, real line beyond the basis, not absorption"
435,27,ICRF J171914.4+485849,Z 252-40,ICRF J171914.4+485849,Z 252-40,J171914.54+485849.6,no_sdss,0,low_snr,yes,,,,0.024167,0.024167,,,0.02486481,204.3,CHECK,REJECT_ALL_iter03_allmasks.json,,"CONFIRMED by GTR (manmask 0). Excluded. Z 252-40, an ICRF radio source at z = 0.024, one FOS spectrum 1120-3198 A. The far-UV is noise: median S/N per pixel is 1.99 in the C IV window, 0.91 in the 1445-1465 A blue continuum window and 1.73 in the red one, with errors of 3-4 on fluxes of 4-7. No line is visible in the data at C IV; the reconstruction draws a broad double-humped shape through the scatter and reports 2261 km/s with EW 126, which would be an extreme outlier for a z = 0.024 object and is not a measurement. This is the 3C 84 trap: the veto passes and every window sits at rms 1.0-1.3 sigma only because the errors are as large as the flux, so the fit statistics cannot distinguish a line from none. The NUV is fine (Mg II S/N 19, C III] 4.5) and the anchors land within 250 km/s, so the redshift is not the problem; the C IV region simply was not detected. Half the window (141 of 280 px) is flagged bad on input. Blueshift moves 2261 -> 2330 between mask sets, one quantum, which says nothing when the line is absent GTR 2026-09-21: TO REFIT on the regenerated tree -- the data behind this exclusion has changed. Verdict held open until that refit."
458,28,UGC 12163,UGC 12163,UGC 12163,Z 495-18,J224239.34+294331.3,no_sdss,0,civ_unphysical,yes,,,,0.0245,0.0245,0.024684,53.8,0.02428517,-62.9,ok,REJECT_ALL_iter03_allmasks.json,yes,"CONFIRMED by GTR (manmask 0) after their own hand attempt on the merge, which could not avoid sub-continuum pixels either. Final state of the merge: with only the absorbed pixels masked (zero-flux core 1546-1552 A and four dead single pixels, all already input-flagged) the flanks pin the line height -- model peak 8.7 against data 7.6 at 1545 A, flanks 15 per cent over -- and the global fit is good (Si IV 1.13, C III] 1.46, Mg II 1.77 sigma; anchors -180 / -140 km/s), giving 404.5 / 31.0 (266.5 / 33.0 with no dip masks). But the reconstruction sits below its continuum on 120 px inside the 1500-1600 A window, at 1502-1528 and 1577-1593 A, and GTR's rule is that negative-EW pixels within the emission window disqualify the fit; my argument that those runs lie outside the line and contribute 2 A of the EW was heard and rejected -- the Mrk 40 tolerance was for a marginal 10 A edge run, not a general waiver. The variants that mask the whole profile instead draw a line 2.7 times the data's height (model 19.7 vs 7.4) and are invalid for a different reason. SPLICE ATTEMPTED at GTR's suggestion (FOS for the line with the trough and zero-flux core masked, STIS for the continuum with its non-physical spikes masked) and it does not rescue the object; figures in 028_UGC_12163_SPLICE/. Findings, in order. (1) STIS's wild anchors were the spikes, not a wrong object: with them masked STIS alone fits the global spectrum well (Si IV 0.83, C III] 0.47, Mg II 0.77 sigma rms) but its own C IV fails the veto on the red side. (2) RETRACTED AND RE-TESTED 2026-09-17: I recorded that the two splices collapsed -- model a featureless continuum, C III] +2.8 sigma median, xcorr pinned at -2000 km/s, EW ~10 -- and attributed it to a slope difference between epochs (FOS and STIS agree at 1500-1535 A, 3.04 vs 3.07, but differ by 9-15 per cent at 1565-1600 A, so any join has a kink the morph's continuum fit cannot follow). That explanation was wrong. The splice FITS had been written by the pre-fix co-adder and carried 58 holes in its wavelength array, so every splice fit paired its pixels with the wrong ICA components past the first hole; the splices were never replayed with the 22 merges after the fix. Rebuilt contiguous and refit: all three constructions now produce a real line -- v2 (both instruments redward) 611.4 / 49.68, v3 (no overlap) 542.4 / 50.02, v4 (island) 5533.9 / 45.65 at baseline, and 887.0 / 54.40, 887.0 / 55.76, 5669.5 / 46.11 under the recorded mask sets -- with v4's C III] at +0.36 sigma instead of pinned. The slope difference is real but is not what killed those fits. It changes nothing here: every one of the six still fails the sub-continuum veto (v2/v3 on 90-97 px at -11 to -14 per cent across 1567-1600 A, v4 on 53-57 px to -42 per cent), and all six fit the global spectrum far worse than FOS alone (Si IV median +3.4 to +4.3 sigma, C III] +1.8 to +2.4, against +0.2 to +0.8 for FOS by itself), with the model again overshooting the data peak by half (12.7 against 8.6). Figures iter10-iter15 in 028_UGC_12163_SPLICE/. (3) A STIS-based construction with only a 1536-1565 A FOS island, pre-scaled by the measured 0.855 STIS/FOS ratio so it sits on STIS's continuum, fits the global spectrum well (Si IV 0.81, C III] 0.70) -- and the reconstruction runs flat at ~4 to 1545 A then steps DOWN to ~2.8 across the rest of the window, under the FOS line (3-6) and under the STIS red continuum alike: 149 sub-continuum px at -24 per cent, EW 5.4-5.5, blueshift 4300-5800 km/s, unchanged by masking the 1547-1553 A core on top. The basis, constrained by this NLS1's narrow-line far-UV, produces no C IV emission at all here; it is not a masking problem. Provisional 0 stands, pending GTR's view of the island figure (iter08_v4_island_allmasks.png). Excluded. UGC 12163 = Akn 564, three spectra, and no configuration of any of them passes the sub-continuum veto. The line itself is intrinsically weak -- data peak 8 on a continuum of 3 in FOS -- and carved by a saturated intrinsic absorber that takes the flux to zero at 1548-1552 A, with further absorption at 1545-1547 and 1552-1560. With the core masked the ICA has nothing to hold it and extrapolates a C IV twice the height of the data (model peak 15.4 against 8.4) from the rest of the UV. Independently, across the whole blue wing 1500-1535 A the reconstruction sits BELOW both the data (~3) and its own continuum (~3.5), at ~2, in every variant: baseline, non-C IV masks, all masks, the merged spectrum, and each component set. Masking that wing wholesale, the NGC 3227 remedy, makes it worse (101 -> 159 px, 29 -> 64 per cent below), which is what happens when the model is under the data rather than under an absorber; the iterative search cannot start because its base already fails. Only FOS covers the window: COS has C IV pixels at 1550.6 A and redward only, and the STIS spectrum is unusable (rms 5-7 in every window, anchors -2000 and +1680 km/s -- worth checking it is the right object). The blueshift swings -562.8 to +404.5 across variants, five quanta, with EW 32-66; none of it is a measurement. C III] and Mg II anchors in FOS land at -210 and -140 km/s. v22 manmask was 1"
